SCHOOL_YEAR_ID,TEST_PERIOD,IDOE_CORPORATION_ID,CORPORATION_NAME,IDOE_SCHOOL_ID,SCHOOL_NAME,GRADE_CODE,Tested,Proficient,Proficient %,subject,CORP,NAME,COUNTY_NAME,treated
2011,Spring ISTEP+,4720,School Town of Highland,4290,Mildred Merkley Elementary School,03,53,45,0.84905660377,Math,4720,Mildred Merkley Elem School,Lake,NA
2011,Spring ISTEP+,4720,School Town of Highland,4290,Mildred Merkley Elementary School,04,56,43,0.7678571428499998,Math,4720,Mildred Merkley Elem School,Lake,NA
2011,Spring ISTEP+,4720,School Town of Highland,4290,Mildred Merkley Elementary School,06,52,41,0.78846153846,Math,4720,Mildred Merkley Elem School,Lake,NA
2011,Spring ISTEP+,4720,School Town of Highland,4301,Southridge Elementary School,04,88,69,0.78409090909,Math,4720,Southridge Elementary School,Lake,NA
2011,Spring ISTEP+,4720,School Town of Highland,4301,Southridge Elementary School,05,85,72,0.8470588235199998,Math,4720,Southridge Elementary School,Lake,NA
2011,Spring ISTEP+,4720,School Town of Highland,4301,Southridge Elementary School,03,60,49,0.81666666666,Math,4720,Southridge Elementary School,Lake,NA
2011,Spring ISTEP+,4720,School Town of Highland,4301,Southridge Elementary School,06,84,79,0.94047619047,Math,4720,Southridge Elementary School,Lake,NA
2011,Spring ISTEP+,4720,School Town of Highland,4303,Allen J Warren Elementary School,05,55,44,0.8,Math,4720,Allen J Warren Elem Sch,Lake,NA
2011,Spring ISTEP+,4720,School Town of Highland,4303,Allen J Warren Elementary School,03,57,45,0.7894736842099999,Math,4720,Allen J Warren Elem Sch,Lake,NA
2011,Spring ISTEP+,4720,School Town of Highland,4303,Allen J Warren Elementary School,04,58,46,0.79310344827,Math,4720,Allen J Warren Elem Sch,Lake,NA
2011,Spring ISTEP+,4720,School Town of Highland,4303,Allen J Warren Elementary School,06,57,47,0.8245614034999998,Math,4720,Allen J Warren Elem Sch,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4309,Hobart Middle School,06,299,253,0.84615384615,Math,4730,Hobart Middle School,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4309,Hobart Middle School,08,280,184,0.65714285714,Math,4730,Hobart Middle School,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4309,Hobart Middle School,07,361,270,0.74792243767,Math,4730,Hobart Middle School,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4317,Liberty Elementary School,04,98,83,0.8469387755099999,Math,4730,Liberty Elementary School,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4317,Liberty Elementary School,03,87,69,0.79310344827,Math,4730,Liberty Elementary School,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4317,Liberty Elementary School,05,80,78,0.975,Math,4730,Liberty Elementary School,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4325,Veterans Elementary School at Mundell,05,62,55,0.88709677419,Math,4730,Ridge View Elementary School,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4325,Veterans Elementary School at Mundell,04,49,39,0.79591836734,Math,4730,Ridge View Elementary School,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4325,Veterans Elementary School at Mundell,03,81,61,0.75308641975,Math,4730,Ridge View Elementary School,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4327,Joan Martin Elementary School,03,139,112,0.80575539568,Math,4730,Joan Martin Elementary School,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4327,Joan Martin Elementary School,04,139,100,0.71942446043,Math,4730,Joan Martin Elementary School,Lake,NA
2011,Spring ISTEP+,4730,School City of Hobart,4327,Joan Martin Elementary School,05,143,122,0.85314685314,Math,4730,Joan Martin Elementary School,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4333,Wilbur Wright Middle School,08,336,310,0.92261904761,Math,4740,Wilbur Wright Middle School,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4333,Wilbur Wright Middle School,06,291,267,0.91752577319,Math,4740,Wilbur Wright Middle School,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4333,Wilbur Wright Middle School,07,279,229,0.82078853046,Math,4740,Wilbur Wright Middle School,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4337,James B Eads Elementary School,03,80,58,0.725,Math,4740,James B Eads Elementary Sch,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4337,James B Eads Elementary School,05,96,88,0.91666666666,Math,4740,James B Eads Elementary Sch,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4337,James B Eads Elementary School,04,86,67,0.77906976744,Math,4740,James B Eads Elementary Sch,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4341,Ernest R Elliott Elementary School,05,76,69,0.9078947368400001,Math,4740,Ernest R Elliott Elem Sch,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4341,Ernest R Elliott Elementary School,04,74,61,0.82432432432,Math,4740,Ernest R Elliott Elem Sch,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4341,Ernest R Elliott Elementary School,03,64,52,0.8125,Math,4740,Ernest R Elliott Elem Sch,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4343,Frank H Hammond Elementary School,05,115,114,0.9913043478200002,Math,4740,Frank H Hammond Elem Sch,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4343,Frank H Hammond Elementary School,03,116,99,0.85344827586,Math,4740,Frank H Hammond Elem Sch,Lake,NA
2011,Spring ISTEP+,4740,School Town of Munster,4343,Frank H Hammond Elementary School,04,106,98,0.92452830188,Math,4740,Frank H Hammond Elem Sch,Lake,NA
2011,Spring ISTEP+,4615,Lake Central School Corporation,4349,Homan Elementary School,04,103,88,0.8543689320299999,Math,4615,Homan Elementary School,Lake,NA
2011,Spring ISTEP+,4615,Lake Central School Corporation,4349,Homan Elementary School,03,115,101,0.87826086956,Math,4615,Homan Elementary School,Lake,NA
