Corp ID,Corp Name,Schl ID,Schl Name,year,American Indian,Asian or Pacific Islander,Black,Hispanic,Multiracial,White,Free Meals,Reduced Price Meals,Paid Meals,TOTAL ENROLLMENT,School Name,ELL N,ELL %,Special Education N,Special Education %,Total Enrollment,white_percent,free_meals_percent,reduced_meals_percent,free_reduced_meal_percent
2260,Baugo Community Schools,1709,Jimtown North Elementary Sch,2010,NA,5,6,21,22,239,126,32,135,293,Jimtown North Elementary Sch,5,0.017064846416382253,43,0.14675767918088736,293,0.8156996587030717,0.4300341296928328,0.10921501706484642,0.5392491467576792
2270,Concord Community Schools,1713,Concord Junior High School,2010,2,7,58,142,74,467,322,101,327,750,Concord Junior High School,101,0.13466666666666666,130,0.17333333333333334,750,0.6226666666666667,0.42933333333333334,0.13466666666666666,0.564
2270,Concord Community Schools,1715,Concord Community High School,2010,6,21,134,238,80,945,493,157,774,1424,Concord Community High School,150,0.10533707865168539,175,0.12289325842696629,1424,0.663623595505618,0.34620786516853935,0.11025280898876405,0.45646067415730335
2270,Concord Community Schools,1721,Concord East Side Elem School,2010,2,4,55,105,77,429,340,66,266,672,Concord East Side Elem School,87,0.12946428571428573,84,0.125,672,0.6383928571428571,0.5059523809523809,0.09821428571428571,0.6041666666666666
2270,Concord Community Schools,1723,Concord Ox-Bow Elementary Sch,2010,NA,6,16,106,65,486,291,80,308,679,Concord Ox-Bow Elementary Sch,91,0.13402061855670103,107,0.15758468335787923,679,0.7157584683357879,0.42857142857142855,0.11782032400589101,0.5463917525773195
2270,Concord Community Schools,1725,Concord South Side Elem School,2010,1,6,103,77,62,314,281,69,213,563,Concord South Side Elem School,78,0.13854351687388988,97,0.17229129662522202,563,0.5577264653641207,0.4991119005328597,0.12255772646536411,0.6216696269982238
2270,Concord Community Schools,1729,Concord West Side Elem School,2010,NA,7,73,266,33,173,403,57,92,552,Concord West Side Elem School,236,0.427536231884058,72,0.13043478260869565,552,0.3134057971014493,0.730072463768116,0.10326086956521739,0.8333333333333334
2275,Middlebury Community Schools,1731,Heritage Intermediate School,2010,1,10,4,32,31,595,169,77,427,673,Heritage Intermediate School,54,0.08023774145616643,82,0.12184249628528974,673,0.8841010401188707,0.2511144130757801,0.11441307578008915,0.3655274888558692
2275,Middlebury Community Schools,1732,Middlebury Elementary School,2010,5,7,4,12,7,290,84,47,194,325,Middlebury Elementary School,61,0.18769230769230769,27,0.08307692307692308,325,0.8923076923076924,0.25846153846153846,0.14461538461538462,0.40307692307692305
2275,Middlebury Community Schools,1733,Northridge High School,2010,4,15,7,41,30,1142,176,124,939,1239,Northridge High School,38,0.03066989507667474,149,0.12025827280064569,1239,0.9217110573042776,0.1420500403551251,0.10008071025020178,0.24213075060532688
