fips_county,county_name.x,NAME,year,ENROLL,TOTALREV,TFEDREV,FEDRCOMP,FEDRHAND,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRHAND,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD,FEDRSPEC,STRSPEC,CSA,CBSA,NCESID,county_name.y
011,Boone,LEBANON COMM SCH CORP,2000,3263,26376,589,302,0,179,108,13726,11527,55,77,2067,12060,10559,10559,0,22,0,1292,187,25749,20640,12115,4399,11920,8370,3065,7736,713,1000,394,1145,4484,984,1154,3840,115,2165,0,358,100,2.2,1.1,52,43.7,45.7,40,0.1,4.9,6303,3713,1348,3653,2565,939,2371,219,306,121,351,NA,NA,NA,NA,NA,Boone
011,Boone,WESTERN BOONE CO COMM SCHOOL CORP,2000,1916,14128,270,96,0,109,65,7919,6527,6,142,1244,5939,4916,4916,0,1,110,677,235,14179,11241,6686,2516,6859,4748,1838,3804,156,225,238,767,2418,578,1209,1715,14,6085,6140,76,100,1.9,0.7,56.1,46.2,42,34.8,0.8,4.8,5837,3490,1313,3580,2478,959,1985,81,117,124,400,NA,NA,NA,NA,NA,Boone
013,Brown,BROWN CO CONS SCH CORP,2000,2443,19186,442,159,30,186,67,10663,8716,39,259,1649,8080,6638,6638,0,344,0,765,333,19038,16225,9903,3363,9757,7050,2429,5746,736,380,413,929,3288,722,1624,1167,22,173,0,120,100,2.3,0.8,55.6,45.4,42.1,34.6,1.8,4,6624,4054,1377,3994,2886,994,2352,301,156,169,380,NA,NA,NA,NA,NA,Brown
015,Carroll,CARROLL CON SCHOOL CORP,2000,1166,8936,181,66,0,75,40,4447,3680,21,49,697,4308,3663,3663,0,180,5,340,120,8897,6517,4259,1448,3940,2863,1003,2153,184,92,212,478,1187,424,313,2067,0,0,0,0,100,2,0.7,49.8,41.2,48.2,41,2.1,3.8,5534,3653,1242,3379,2455,860,1846,158,79,182,410,NA,NA,NA,NA,NA,Carroll
015,Carroll,DELPHI COMM SCH CORP,2000,1727,14270,412,230,0,122,60,7410,6149,13,65,1183,6449,5513,5513,0,248,9,427,252,14921,11315,7125,2625,6396,4543,1740,4104,362,333,197,726,2486,815,1260,2285,61,221,0,51,100,2.9,1.6,51.9,43.1,45.2,38.6,1.8,3,6343,4126,1520,3704,2631,1008,2376,210,193,114,420,NA,NA,NA,NA,NA,Carroll
017,Cass,LOGANSPORT COMM SCH CORP,2000,3900,35473,3820,1083,1715,457,565,19487,16636,76,39,2736,12166,10088,10088,0,439,191,890,558,35574,27727,16591,6642,16897,11459,4805,9111,1089,778,396,1323,5525,1719,2199,5439,209,899,0,150,100,10.8,3.1,54.9,46.9,34.3,28.4,1.8,2.5,6925,4254,1703,4333,2938,1232,2336,279,199,102,339,NA,NA,NA,NA,NA,Cass
017,Cass,PIONEER REGIONAL SCHOOL CORP.,2000,1052,7426,158,62,0,63,33,4533,3821,10,38,664,2735,2226,2226,0,91,0,295,123,7609,6084,3960,1228,3560,2626,848,2138,181,104,156,378,1319,386,844,681,0,0,0,0,100,2.1,0.8,61,51.5,36.8,30,1.2,4,5683,3764,1167,3384,2496,806,2032,172,99,148,359,NA,NA,NA,NA,NA,Cass
017,Cass,SOUTHEASTERN CASS CO SCHOOL DIST,2000,1629,12715,504,377,0,87,40,7159,5972,0,63,1124,5052,4184,4184,0,174,0,440,254,12741,10631,6856,2250,6750,4887,1676,3235,236,370,154,538,1937,646,552,1533,25,19,5,40,100,4,3,56.3,47,39.7,32.9,1.4,3.5,6389,4209,1381,4144,3000,1029,1986,145,227,95,330,NA,NA,NA,NA,NA,Cass
019,Clark,CLARKSVILLE COMMUNITY SCH. CORP.,2000,1417,13714,560,271,0,173,116,5873,4875,33,19,946,7281,6569,6569,0,1,0,409,302,12701,10180,5514,2288,6073,4084,1716,3600,271,310,180,865,1974,507,638,1801,82,0,0,0,100,4.1,2,42.8,35.5,53.1,47.9,0,3,7131,3891,1615,4286,2882,1211,2541,191,219,127,610,NA,NA,NA,NA,NA,Clark
019,Clark,GREATER CLARK CO SCH DIST,2000,9744,83715,5278,1479,1751,1132,916,47635,39238,392,499,7506,30802,25113,25113,0,3,226,2087,3373,80944,71518,45195,17182,46497,32465,12600,22100,3088,2242,343,3465,12962,2921,5877,3383,166,2798,0,274,100,6.3,1.8,56.9,46.9,36.8,30,0.3,2.5,7277,4638,1763,4772,3332,1293,2268,317,230,35,356,NA,NA,NA,NA,NA,Clark
