County,year,population
Fountain,2003,17738
Fountain,2004,17578
Fountain,2005,17436
Fountain,2006,17459
Fountain,2007,17396
Fountain,2008,17356
Fountain,2009,17183
Fountain,2010,17249
Franklin,2000,22252
Franklin,2001,22315
Franklin,2002,22475
Franklin,2003,22700
Franklin,2004,22852
Franklin,2005,23049
Franklin,2006,23122
Franklin,2007,23276
Franklin,2008,23330
Franklin,2009,23195
Franklin,2010,23047
Fulton,2000,20549
Fulton,2001,20509
Fulton,2002,20464
Fulton,2003,20379
Fulton,2004,20466
Fulton,2005,20540
Fulton,2006,20563
Fulton,2007,20571
Fulton,2008,20670
Fulton,2009,20772
Fulton,2010,20844
Gibson,2000,32491
Gibson,2001,32647
Gibson,2002,32684
Gibson,2003,32934
Gibson,2004,33198
Gibson,2005,33268
Gibson,2006,33429
Gibson,2007,33290
Gibson,2008,33331
Gibson,2009,33345
Gibson,2010,33537
Grant,2000,73325
Grant,2001,72905
Grant,2002,72425
Grant,2003,72113
Grant,2004,71479
Grant,2005,70803
Grant,2006,70448
Grant,2007,70012
Grant,2008,70250
Grant,2009,70195
Grant,2010,69975
Greene,2000,33191
Greene,2001,33195
Greene,2002,33052
Greene,2003,33287
Greene,2004,33384
Greene,2005,33320
Greene,2006,33223
Greene,2007,33020
Greene,2008,32977
Greene,2009,32995
Greene,2010,33205
Hamilton,2000,185221
Hamilton,2001,194664
Hamilton,2002,204721
Hamilton,2003,215152
Hamilton,2004,225319
Hamilton,2005,235039
Hamilton,2006,244738
Hamilton,2007,253725
Hamilton,2008,261974
Hamilton,2009,269394
Hamilton,2010,276390
Hancock,2000,55710
Hancock,2001,56729
Hancock,2002,58223
Hancock,2003,59606
Hancock,2004,60922
Hancock,2005,63045
Hancock,2006,65402
Hancock,2007,67115
Hancock,2008,68107
Hancock,2009,69183
Hancock,2010,70250
Harrison,2000,34569
Harrison,2001,34863
Harrison,2002,35408
Harrison,2003,35934
Harrison,2004,36736
Harrison,2005,37354
Harrison,2006,37766
Harrison,2007,38142
Harrison,2008,38628
Harrison,2009,39148
Harrison,2010,39394
Hendricks,2000,105378
Hendricks,2001,110144
Hendricks,2002,115206
Hendricks,2003,119340
Hendricks,2004,124115
Hendricks,2005,128082
Hendricks,2006,132350
Hendricks,2007,137267
Hendricks,2008,140710
Hendricks,2009,143944
Hendricks,2010,145867
Henry,2000,48469
Henry,2001,48397
Henry,2002,48258
Henry,2003,48145
Henry,2004,48184
Henry,2005,48064
Henry,2006,48375
Henry,2007,48030
Henry,2008,49420
Henry,2009,49305
Henry,2010,49476
Howard,2000,84940
Howard,2001,84909
Howard,2002,84563
Howard,2003,84538
Howard,2004,84291
Howard,2005,84382
Howard,2006,83943
Howard,2007,83743
Howard,2008,83472
Howard,2009,82701
Howard,2010,82770
Huntington,2000,38068
